Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.101-51.116.246.106-45844-443-6,192.168.0.101,45844,51.116.246.106,443,6,26/06/2026 10:40:05 PM,817553,7,7,4054.0,7304.0,1795.0,0.0,579.1428571428571,825.2091509775827,5210.0,0.0,1043.4285714285713,1906.033740269993,13892.677294316087,17.124272065541927,62888.69230769231,96927.89408660492,205359.0,3.0,615979.0,102663.16666666666,110307.8797773154,205491.0,1319.0,617147.0,102857.83333333334,112281.28387298869,207238.0,3.0,0,0,0,0,232,232,8.562136032770963,8.562136032770963,0.0,5210.0,757.1999999999999,1395.2055250545911,1946598.4571428571,1,2,0,7,13,0,0,0,1.0,811.2857142857143,579.1428571428571,1043.4285714285713,0,0,0,11358,8,18447,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-51.116.246.106-45862-443-6,192.168.0.101,45862,51.116.246.106,443,6,26/06/2026 10:40:06 PM,917929,7,7,4054.0,7304.0,1795.0,0.0,579.1428571428571,825.2091509775827,5210.0,0.0,1043.4285714285713,1906.033740269993,12373.506011902882,15.251724261898252,70609.92307692309,102489.25606005534,230717.0,37.0,663074.0,110512.33333333333,119922.37066647185,232550.0,1027.0,712476.0,118745.99999999999,114822.75898618705,232381.0,1787.0,0,0,0,0,232,232,7.625862130949126,7.625862130949126,0.0,5210.0,757.1999999999999,1395.2055250545911,1946598.4571428571,1,2,0,7,13,0,0,0,1.0,811.2857142857143,579.1428571428571,1043.4285714285713,0,0,0,11358,8,15968,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.7-48138-443-6,192.168.0.101,48138,20.184.175.7,443,6,26/06/2026 10:40:06 PM,1021837,8,8,4136.0,7302.0,1877.0,0.0,517.0,810.3313255347205,5208.0,0.0,912.75,1802.1119950927418,11193.566097136822,15.6580746244264,68122.46666666666,96163.0091532577,231659.0,48.0,968112.0,138301.71428571426,128883.53173791482,263406.0,1306.0,807134.0,115304.85714285714,105279.40915397237,233171.0,3894.0,0,0,0,0,264,264,7.8290373122132,7.8290373122132,0.0,5208.0,672.8235294117648,1333.1627917894216,1777323.0294117648,1,2,0,7,15,0,0,0,1.0,714.875,517.0,912.75,0,0,0,11438,8,14194,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.7-48168-443-6,192.168.0.101,48168,20.184.175.7,443,6,26/06/2026 10:40:06 PM,900442,7,6,4054.0,7302.0,1795.0,0.0,579.1428571428571,825.2091509775827,6636.0,0.0,1217.0,2660.2882550580866,12611.584088703104,14.437354099431168,75036.83333333333,109509.20630857175,239426.0,78.0,684635.0,114105.83333333334,123048.7720156795,239521.0,868.0,678786.0,135757.2,123450.70909354875,241116.0,427.0,0,0,0,0,232,200,7.773959899693707,6.663394199737462,0.0,6636.0,811.1428571428572,1786.585262756553,3191886.9010989014,1,2,0,7,12,0,0,0,0.0,873.5384615384615,579.1428571428571,1217.0,0,0,0,11356,7,16753,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.7-48158-443-6,192.168.0.101,48158,20.184.175.7,443,6,26/06/2026 10:40:06 PM,965698,9,10,4136.0,7302.0,1877.0,0.0,459.55555555555554,777.3390687324147,2856.0,0.0,730.2,942.3767588154727,11844.282581096782,19.674888008466414,53649.88888888888,91044.85676392379,220351.0,1.0,965477.0,120684.62499999999,129088.93736151444,263271.0,11.0,749681.0,83297.88888888889,103267.66959514053,221902.0,1.0,0,0,0,0,296,328,9.319683793484092,10.355204214982324,0.0,2856.0,571.9000000000001,843.4878653231287,711471.7789473686,1,2,0,7,18,0,0,0,1.0,602.0,459.55555555555554,730.2,0,0,0,11438,10,15273,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.7-48184-443-6,192.168.0.101,48184,20.184.175.7,443,6,26/06/2026 10:40:06 PM,924037,8,8,4135.0,7302.0,1876.0,0.0,516.875,810.0916063719495,2856.0,0.0,912.75,1152.5517961710627,12377.210003495531,17.315323953478053,61602.46666666666,101150.30467496424,227078.0,47.0,691858.0,98836.85714285714,119719.44325300516,234161.0,702.0,704059.0,100579.85714285714,118452.36835317474,231025.0,730.0,0,0,0,0,264,264,8.657661976739027,8.657661976739027,0.0,2856.0,672.7647058823529,968.2502600962576,937508.5661764706,1,2,0,7,15,0,0,0,1.0,714.8125,516.875,912.75,0,0,0,11437,9,16261,0,0,0,0,64240,16384,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-51.116.246.106-45874-443-6,192.168.0.101,45874,51.116.246.106,443,6,26/06/2026 10:40:06 PM,842222,7,8,4135.0,7304.0,1876.0,0.0,590.7142857142858,845.4203519129236,5210.0,0.0,913.0000000000002,1802.7929918403197,13581.929704994645,17.81003108444092,60158.71428571428,97513.0061545469,211540.0,3.0,631307.0,105217.83333333334,114132.50747690891,212682.0,783.0,634659.0,90665.57142857142,111895.3178434456,212751.0,3.0,0,0,0,0,232,264,8.311347839405762,9.498683245035156,0.0,5210.0,714.9375,1365.5728208948312,1864789.1291666667,1,2,0,7,14,0,0,0,1.0,762.6,590.7142857142857,913.0,0,0,0,11439,8,18051,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.7-48190-443-6,192.168.0.101,48190,20.184.175.7,443,6,26/06/2026 10:40:06 PM,993688,8,9,4054.0,7302.0,1795.0,0.0,506.75,790.957963484786,4284.0,0.0,811.3333333333334,1394.4965937570448,11428.13438423328,17.107985605139643,62105.5,97316.55758537014,229201.0,3.0,951968.0,135995.42857142858,125913.42892090204,269505.0,837.0,773293.0,96661.625,111683.13644789568,233388.0,3.0,0,0,0,0,264,296,8.05081675535983,9.05716884977981,0.0,4284.0,630.888888888889,1104.8186909485562,1220624.3398692813,1,2,0,7,16,0,0,0,1.0,668.0,506.75,811.3333333333334,0,0,0,11356,9,14703,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.7-48146-443-6,192.168.0.101,48146,20.184.175.7,443,6,26/06/2026 10:40:06 PM,1213734,8,9,4054.0,7303.0,1795.0,0.0,506.75,790.957963484786,4284.0,0.0,811.4444444444445,1394.4654989557032,9357.074943933349,14.00636383260253,75858.37500000001,104333.50553673222,233998.0,3.0,979736.0,139962.2857142857,130667.20788541947,265238.0,540.0,994334.0,124291.75,123070.09744595615,277898.0,3.0,0,0,0,0,264,296,6.591230038871779,7.415133793730751,0.0,4284.0,630.9444444444446,1104.809830440474,1220604.7614379087,1,2,0,7,16,0,0,0,1.0,668.0588235294117,506.75,811.4444444444445,0,0,0,11357,9,11428,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-51.116.246.106-45882-443-6,192.168.0.101,45882,51.116.246.106,443,6,26/06/2026 10:40:06 PM,922765,7,9,4136.0,7304.0,1877.0,0.0,590.8571428571429,845.6737804006594,4284.0,0.0,811.5555555555557,1394.5169514128459,12397.522662866495,17.339192535477615,61517.666666666664,101008.85736810176,230750.0,3.0,688974.0,114829.00000000001,124279.2015423337,243142.0,1256.0,704086.0,88010.75,114725.848835698,232629.0,3.0,0,0,0,0,232,296,7.585896734271456,9.753295801206159,0.0,4284.0,672.9411764705883,1132.512277559731,1282584.0588235292,1,2,0,7,15,0,0,0,1.0,715.0,590.8571428571429,811.5555555555555,0,0,0,11440,9,16279,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
