Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.101-118.69.16.33-46622-80-6,192.168.0.101,46622,118.69.16.33,80,6,26/06/2026 10:26:18 PM,11712,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.91256830601094,2928.0,2087.452514429969,5066.0,71.0,8224.0,4112.0,1449.5689014324225,5137.0,3087.0,6646.0,6646.0,0.0,6646.0,6646.0,0,0,0,0,104,72,256.1475409836066,170.76502732240436,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-62370-80-6,192.168.0.106,62370,192.168.0.101,80,6,26/06/2026 10:26:25 PM,59483,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.62305196442681,59483.0,0.0,59483.0,59483.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16.811525982213404,16.811525982213404,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-62430-22-6,192.168.0.106,62430,192.168.0.101,22,6,26/06/2026 10:26:25 PM,149459,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.763192581243015,49819.66666666667,85248.741247794,148254.0,3.0,149459.0,74729.5,105679.22976867309,149456.0,3.0,0,0,0,0,0,0,0,0,0,104,40,20.07239443593226,6.690798145310754,0.0,0.0,0.0,0.0,0.0,0,2,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-62426-80-6,192.168.0.106,62426,192.168.0.101,80,6,26/06/2026 10:26:25 PM,50028,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96641880546893,25014.0,34957.945048300535,49733.0,295.0,50028.0,50028.0,0.0,50028.0,50028.0,0,0,0,0,0,0,0,0,0,60,40,39.97761253697929,19.988806268489643,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-62366-21-6,192.168.0.106,62366,192.168.0.101,21,6,26/06/2026 10:26:25 PM,50033,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.96042611876162,25016.5,34986.936426329186,49756.0,277.0,50033.0,50033.0,0.0,50033.0,50033.0,0,0,0,0,0,0,0,0,0,60,40,39.97361741250774,19.98680870625387,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-118.69.16.33-47108-80-6,192.168.0.101,47108,118.69.16.33,80,6,26/06/2026 10:26:28 PM,8956,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.2849486377847,2239.0,2196.460486024428,4140.0,82.0,4816.0,2408.0,2542.755985146825,4206.0,610.0,4832.0,4832.0,0.0,4832.0,4832.0,0,0,0,0,104,72,334.97096918267084,223.31397945511387,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-118.69.16.33-47122-80-6,192.168.0.101,47122,118.69.16.33,80,6,26/06/2026 10:26:33 PM,135355,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.71585829854826,22559.166666666664,34486.233725454375,68785.0,3.0,70029.0,23343.0,39504.50775544482,68955.0,22.0,66570.0,33285.0,47067.85578290135,66567.0,3.0,0,0,0,0,136,112,29.551919027741864,22.1639392708064,0.0,0.0,0.0,0.0,0.0,2,3,0,0,6,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50747-80-6,192.168.0.106,50747,192.168.0.101,80,6,26/06/2026 10:26:37 PM,48516,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.223513892324185,48516.0,0.0,48516.0,48516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20.611756946162092,20.611756946162092,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-53112-80-6,192.168.0.106,53112,192.168.0.101,80,6,26/06/2026 10:26:49 PM,178,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11235.955056179775,178.0,0.0,178.0,178.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,5617.9775280898875,5617.9775280898875,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-140.82.112.21-47386-443-6,192.168.0.101,47386,140.82.112.21,443,6,26/06/2026 10:26:52 PM,1012185,5,4,39.0,102.0,39.0,0.0,7.8,17.44133022449836,39.0,0.0,25.5,18.411952639521967,139.30259784525558,8.891655181612059,126523.125,174612.61828437544,430000.0,87.0,1012185.0,253046.25,180537.98829678478,430152.0,1247.0,756158.0,252052.66666666666,207787.66228131385,430133.0,23760.0,1,0,0,0,148,128,4.9398084342289215,3.951846747383137,0.0,39.0,18.0,19.493588689617926,379.99999999999994,1,0,1,4,8,0,0,0,0.0,20.0,7.8,25.5,0,0,0,141,4,139,0,0,0,0,78,72,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
