duration,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,protocol_type,service,flag,label
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.4481409001956947,0.019569471624266144,0.0,0.0,1.0,1.0,0.04,0.06,0.0,1.0,0.0392156862745098,0.04,0.06,0.0,0.0,0.0,0.0,1.0,1.0,2,50,2,1
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.26614481409001955,0.0019569471624266144,0.0,0.0,1.0,1.0,0.01,0.06,0.0,1.0,0.00392156862745098,0.0,0.06,0.0,0.0,0.0,0.0,1.0,1.0,2,50,2,1
4.661135452596253e-05,9.408217209811507e-06,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0019569471624266144,0.0019569471624266144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5254901960784314,0.33725490196078434,0.61,0.04,0.61,0.02,0.0,0.0,0.0,0.0,2,21,10,0
0.0,1.4493132881170003e-08,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0019569471624266144,0.12720156555772993,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.011764705882352941,0.22352941176470587,1.0,0.0,1.0,0.28,0.0,0.0,0.0,0.0,1,15,10,2
2.3305677262981263e-05,0.0,1.1450928867707014e-08,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0019569471624266144,0.015655577299412915,0.0,0.12,1.0,0.5,1.0,0.0,0.75,0.11372549019607843,0.33725490196078434,0.31,0.17,0.03,0.02,0.0,0.0,0.83,0.71,2,61,3,2
0.0,1.9348332396361953e-07,1.1080682167651154e-05,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.007827788649706457,0.007827788649706457,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6078431372549019,1.0,1.0,0.0,0.01,0.03,0.01,0.0,0.0,0.0,2,25,10,0
0.0,7.405990902277871e-07,2.9543396478684096e-07,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0019569471624266144,0.005870841487279843,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.10980392156862745,0.11,0.72,0.0,0.0,0.0,0.0,0.72,0.04,2,55,10,0
0.0,9.348070708354652e-08,1.3283077486540137e-07,0,0.0,0.0,0.0,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0019569471624266144,0.0019569471624266144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,2,61,10,3
0.0,2.3696272260712955e-07,3.565055854146117e-07,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.06457925636007827,0.09197651663405088,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.592156862745098,1.0,1.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,2,25,10,0
0.0,1.8841072745521005e-08,1.198530554820001e-07,0,0.0,0.0,0.0,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0019569471624266144,0.0019569471624266144,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.20392156862745098,0.10196078431372549,0.5,0.08,0.02,0.0,0.0,0.0,0.0,0.0,2,20,10,3
