Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
40.74.98.199-192.168.0.101-443-47344-6,40.74.98.199,443,192.168.0.101,47344,6,26/06/2026 11:14:47 PM,252740,6,5,1997.0,1819.0,1428.0,0.0,332.8333333333333,566.0884795389027,1795.0,0.0,363.79999999999995,800.132614008453,15098.520218406265,43.52298805096146,25273.999999999996,78992.70252652737,250086.0,0.0,251823.0,50364.6,112614.75615921743,251816.0,0.0,252679.0,63169.75,124706.62454837754,250227.0,43.0,0,0,0,0,192,172,23.739811664160797,19.783176386800662,0.0,1795.0,318.0,623.48448985593,388732.9090909092,2,0,0,4,11,0,0,0,0.0,346.90909090909093,332.8333333333333,363.8,0,0,0,3816,5,15101,0,0,0,0,16386,80,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50918-22-6,192.168.0.106,50918,192.168.0.101,22,6,26/06/2026 11:14:50 PM,2360887,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6942784639840873,786962.3333333334,456569.1647410426,1311966.0,482822.0,2360887.0,1180443.5,186000.9032572154,1311966.0,1048921.0,0,0,0,0,0,0,0,0,0,100,40,1.2707088479880655,0.42356961599602183,0.0,0.0,0.0,0.0,0.0,0,3,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,64240,65160,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50861-22-6,192.168.0.106,50861,192.168.0.101,22,6,26/06/2026 11:14:50 PM,2286886,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.749103365887062,762295.3333333334,412076.15251593164,1233697.0,470540.0,2286886.0,1143443.0,127638.43085842131,1233697.0,1053189.0,0,0,0,0,0,0,0,0,0,100,40,1.3118275244152966,0.4372758414717655,0.0,0.0,0.0,0.0,0.0,0,3,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,64240,65160,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50928-80-6,192.168.0.106,50928,192.168.0.101,80,6,26/06/2026 11:14:50 PM,2657965,9,6,334.0,492.0,290.0,0.0,37.111111111111114,95.9432702752575,492.0,0.0,82.0,200.85815890822062,310.7640619797477,5.643415169123747,189854.64285714287,367837.65805805125,1312360.0,0.0,2657500.0,332187.49999999994,444260.92697165516,1312360.0,0.0,779565.0,155913.0,222701.51123533043,482818.0,145.0,0,0,0,0,312,208,3.3860491014742484,2.2573660676494987,0.0,492.0,51.625,137.95113869289617,19030.51666666667,2,5,0,3,12,0,0,0,0.0,55.06666666666667,37.111111111111114,82.0,0,0,0,0,0,0,9,334,6,492,64240,64,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50930-80-6,192.168.0.106,50930,192.168.0.101,80,6,26/06/2026 11:14:50 PM,2657578,8,5,216.0,492.0,216.0,0.0,27.0,76.36753236814714,492.0,0.0,98.4,220.0290889859793,266.40798501492714,4.891672041234537,221464.83333333337,398483.381262879,1311966.0,1.0,2656799.0,379542.7142857143,470370.51962742244,1311966.0,1.0,779533.0,194883.25,236874.99769058928,482845.0,115.0,0,0,0,0,280,176,3.0102597176827923,1.8814123235517453,0.0,492.0,50.57142857142857,139.4812997036985,19455.032967032967,2,5,0,2,10,0,0,0,0.0,54.46153846153846,27.0,98.4,0,0,0,0,0,0,8,216,5,492,64240,64,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50862-80-6,192.168.0.106,50862,192.168.0.101,80,6,26/06/2026 11:14:50 PM,2837662,8,5,223.0,492.0,223.0,0.0,27.874999999999996,78.84240610230005,492.0,0.0,98.4,220.0290889859793,251.96799336918914,4.581236243076166,236471.8333333333,399309.19674444885,1311952.0,2.0,2837278.0,405325.42857142864,461239.3174870854,1311952.0,2.0,959663.0,239915.75,288832.3298678953,582691.0,152.0,0,0,0,0,280,176,2.819222303431487,1.7620139396446794,0.0,492.0,51.07142857142857,140.13096307806785,19636.686813186814,2,5,0,2,10,0,0,0,0.0,55.0,27.875,98.4,0,0,0,0,0,0,8,223,5,492,64240,64,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50954-80-6,192.168.0.106,50954,192.168.0.101,80,6,26/06/2026 11:14:50 PM,2837661,9,6,331.0,492.0,290.0,0.0,36.77777777777778,95.92155359690776,492.0,0.0,82.0,200.85815890822062,290.0275966720478,5.286043681750568,202690.07142857145,377208.11778308277,1311938.0,3.0,2837266.0,354658.25,450425.89429584786,1311938.0,3.0,959635.0,191927.0,272168.56457993085,582693.0,102.0,0,0,0,0,312,208,3.171626209050341,2.1144174727002274,0.0,492.0,51.43750000000001,137.96423147564974,19034.129166666666,2,5,0,3,12,0,0,0,0.0,54.86666666666667,36.77777777777778,82.0,0,0,0,0,0,0,9,331,6,492,64240,64,2,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50896-80-6,192.168.0.106,50896,192.168.0.101,80,6,26/06/2026 11:14:50 PM,2837330,8,5,215.0,492.0,215.0,0.0,26.875,76.01397897755386,492.0,0.0,98.4,220.0290889859793,249.17792431617048,4.58177230001445,236444.16666666672,392309.6394565333,1311829.0,6.0,2836785.0,405255.0,467966.2493784497,1311829.0,130.0,959737.0,239934.25,233693.26091891623,494981.0,864.0,0,0,0,0,280,176,2.819552184624277,1.762220115390173,0.0,492.0,50.5,139.39029322787812,19429.653846153844,2,5,0,2,10,0,0,0,0.0,54.38461538461539,26.875,98.4,0,0,0,0,0,0,8,215,5,492,64240,64,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50902-80-6,192.168.0.106,50902,192.168.0.101,80,6,26/06/2026 11:14:50 PM,2770802,7,4,215.0,492.0,215.0,0.0,30.714285714285715,81.26236169698386,492.0,0.0,123.0,246.0,255.16078016401025,3.9699697055220833,277080.19999999995,423723.97772050725,1385064.0,137.0,2770558.0,461759.6666666667,481792.5605111256,1385064.0,75897.0,1066560.0,355520.0,332041.9266312614,658680.0,661.0,0,0,0,0,248,136,2.5263443580595073,1.4436253474625758,0.0,492.0,58.91666666666667,149.73762406491585,22421.356060606064,2,4,0,2,8,0,0,0,0.0,64.27272727272727,30.714285714285715,123.0,0,0,0,0,0,0,7,215,4,492,64240,64,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.101-50898-80-6,192.168.0.106,50898,192.168.0.101,80,6,26/06/2026 11:14:50 PM,2770890,8,5,216.0,492.0,216.0,0.0,27.0,76.36753236814714,492.0,0.0,98.4,220.0290889859793,255.5135714517718,4.6916333741144545,230907.49999999997,364152.35899614124,1233705.0,4.0,2770562.0,395794.5714285715,425217.54562453367,1233705.0,4.0,1066663.0,266665.75,267659.26385658694,570729.0,706.0,0,0,0,0,280,176,2.887158999455049,1.8044743746594054,0.0,492.0,50.57142857142857,139.4812997036985,19455.032967032967,2,5,0,2,10,0,0,0,0.0,54.46153846153846,27.0,98.4,0,0,0,0,0,0,8,216,5,492,64240,64,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
