Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
118.69.16.25-192.168.0.103-80-46328-6,118.69.16.25,80,192.168.0.103,46328,6,27/06/2026 09:04:22 AM,6567,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.82960255824577,3283.5,4595.4869709313725,6533.0,34.0,0,0,0,0,0,6533.0,6533.0,0.0,6533.0,6533.0,0,0,0,0,40,64,152.27653418608193,304.55306837216386,0.0,0.0,0.0,0.0,0.0,1,1,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65160,63,0,40,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-51200-80-6,192.168.0.106,51200,192.168.0.103,80,6,27/06/2026 09:04:35 AM,132789,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.592232790366673,66394.5,34199.219472087374,90577.0,42212.0,132789.0,132789.0,0.0,132789.0,132789.0,0,0,0,0,0,0,0,0,0,60,40,15.061488526911116,7.530744263455558,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.103-118.69.16.33-45816-80-6,192.168.0.103,45816,118.69.16.33,80,6,27/06/2026 09:04:38 AM,172327,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.62044833369118,28721.166666666664,34680.02686513762,78228.0,37.0,94099.0,31366.333333333332,30829.628514358283,66922.0,12068.0,105465.0,52732.5,36108.40778129105,78265.0,27200.0,0,0,0,0,136,112,23.211684762109243,17.408763571581932,0.0,0.0,0.0,0.0,0.0,2,3,0,0,6,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-51193-80-6,192.168.0.106,51193,192.168.0.103,80,6,27/06/2026 09:04:42 AM,45254,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1949882883281,45254.0,0.0,45254.0,45254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,22.09749414416405,22.09749414416405,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-51191-21-6,192.168.0.106,51191,192.168.0.103,21,6,27/06/2026 09:04:42 AM,12788,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.7932436659368,4262.666666666666,7202.871117362391,12579.0,3.0,12788.0,6394.0,9038.23887712645,12785.0,3.0,0,0,0,0,0,0,0,0,0,104,40,234.5949327494526,78.1983109164842,0.0,0.0,0.0,0.0,0.0,0,2,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-51195-80-6,192.168.0.106,51195,192.168.0.103,80,6,27/06/2026 09:04:42 AM,11908,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.9086328518643,3969.333333333333,6728.38705287778,11738.0,1.0,11908.0,5954.0,8418.813336807034,11907.0,1.0,0,0,0,0,0,0,0,0,0,104,40,251.9314746388982,83.97715821296607,0.0,0.0,0.0,0.0,0.0,0,2,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-51223-22-6,192.168.0.106,51223,192.168.0.103,22,6,27/06/2026 09:04:42 AM,10233,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.89221147268637,3411.0,5478.099214143534,9730.0,2.0,10233.0,5116.5,7232.9952647571945,10231.0,2.0,0,0,0,0,0,0,0,0,0,104,40,293.1691586045148,97.72305286817159,0.0,0.0,0.0,0.0,0.0,0,2,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-55849-80-6,192.168.0.106,55849,192.168.0.103,80,6,27/06/2026 09:04:46 AM,131644,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.192488833520706,131644.0,0.0,131644.0,131644.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,7.596244416760353,7.596244416760353,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.103-118.69.16.25-48566-80-6,192.168.0.103,48566,118.69.16.25,80,6,27/06/2026 09:04:49 AM,1141439,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.256522687589963,228287.8,442420.7523565096,1018676.0,55.0,1096898.0,365632.6666666666,565898.3647770449,1018676.0,19318.0,63914.0,63914.0,0.0,63914.0,63914.0,0,0,0,0,144,72,3.5043484583933084,1.7521742291966542,0.0,0.0,0.0,0.0,0.0,2,3,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,2,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-58871-80-6,192.168.0.106,58871,192.168.0.103,80,6,27/06/2026 09:04:54 AM,52718,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.93770628627793,52718.0,0.0,52718.0,52718.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,18.968853143138965,18.968853143138965,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.103-140.82.112.22-46374-443-6,192.168.0.103,46374,140.82.112.22,443,6,27/06/2026 09:04:58 AM,1209279,7,5,78.0,141.0,39.0,0.0,11.142857142857142,19.030051422496395,39.0,0.0,28.2,17.049926686059386,181.09964697972924,9.923268327656396,109934.45454545454,208555.53977603358,635266.0,1.0,1209279.0,201546.5,254655.63481042394,635266.0,9.0,278143.0,69535.75,139068.8333341323,278139.0,1.0,1,0,0,0,224,172,5.788573191132898,4.134695136523499,0.0,39.0,19.846153846153847,19.53990000761755,381.8076923076923,1,0,1,6,11,0,0,0,0.0,21.5,11.142857142857142,28.2,0,0,0,219,6,181,0,0,0,0,78,72,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
140.82.112.22-192.168.0.103-443-46374-6,140.82.112.22,443,192.168.0.103,46374,6,27/06/2026 09:05:00 AM,41,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,24390.243902439022,24390.243902439022,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,72,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.103-118.69.16.33-46608-80-6,192.168.0.103,46608,118.69.16.33,80,6,27/06/2026 09:04:59 AM,477966,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.645393186963089,79661.0,146176.6176472831,370761.0,45.0,394400.0,131466.66666666666,207534.97989816882,370842.0,2014.0,107205.0,53602.5,45286.653801092434,85625.0,21580.0,0,0,0,0,136,112,8.36879610683605,6.276597080127038,0.0,0.0,0.0,0.0,0.0,2,3,0,0,6,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-61279-80-6,192.168.0.106,61279,192.168.0.103,80,6,27/06/2026 09:05:03 AM,202,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9900.990099009901,202.0,0.0,202.0,202.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4950.495049504951,4950.495049504951,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.106-192.168.0.103-56588-80-6,192.168.0.106,56588,192.168.0.103,80,6,27/06/2026 09:05:09 AM,3412,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.1664712778429,3412.0,0.0,3412.0,3412.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,293.08323563892145,293.08323563892145,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
