Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-192.168.0.102-60880-80-6,192.168.0.104,60880,192.168.0.102,80,6,23/06/2026 09:27:37 PM,87741,8,7,77.0,11173.0,77.0,0.0,9.625,27.22361107568208,2796.0,0.0,1596.1428571428569,1493.0599930535755,128218.27879782542,170.95770506376724,6267.214285714284,18932.52525388547,71863.0,1.0,87541.0,12505.857142857141,27956.097709495454,75600.0,1.0,15878.0,2646.3333333333335,2943.8409377319736,7567.0,18.0,0,0,0,0,264,232,91.17744270067585,79.78026236309137,0.0,2796.0,703.125,1246.4575337063566,1553656.383333333,2,2,0,5,14,0,0,0,0.0,750.0,9.625,1596.142857142857,0,0,0,11250,5,2918287,0,0,0,0,64240,63,1,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.104-192.168.0.102-60849-80-6,192.168.0.104,60849,192.168.0.102,80,6,23/06/2026 09:27:40 PM,75658,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.434745829918846,75658.0,0.0,75658.0,75658.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,13.217372914959423,13.217372914959423,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.104-192.168.0.102-60906-22-6,192.168.0.104,60906,192.168.0.102,22,6,23/06/2026 09:27:40 PM,31596,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.598303582732,10532.0,9291.126788500951,18805.0,480.0,31596.0,15798.0,21662.92334843107,31116.0,480.0,0,0,0,0,0,0,0,0,0,104,40,94.948727687049,31.649575895683,0.0,0.0,0.0,0.0,0.0,0,2,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65160,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.104-192.168.0.102-60904-21-6,192.168.0.104,60904,192.168.0.102,21,6,23/06/2026 09:27:40 PM,23736,3,2,0.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,14.142135623730951,842.6019548365352,210.6504887091338,5934.0,8837.612912998622,19118.0,276.0,23736.0,11868.0,10643.371270419913,19394.0,4342.0,21007.0,21007.0,0.0,21007.0,21007.0,0,0,0,0,104,72,126.39029322548028,84.26019548365352,0.0,20.0,3.3333333333333335,8.164965809277259,66.66666666666666,0,2,1,1,4,0,0,0,0.0,4.0,0.0,10.0,0,0,0,0,0,0,0,0,0,0,64240,63,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.104-192.168.0.102-60816-80-6,192.168.0.104,60816,192.168.0.102,80,6,23/06/2026 09:27:40 PM,18851,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.19033473025303,6283.666666666666,9643.563155459362,17400.0,161.0,18851.0,9425.5,11505.334436686315,17561.0,1290.0,0,0,0,0,0,0,0,0,0,104,40,159.14275104768979,53.04758368256326,0.0,0.0,0.0,0.0,0.0,0,2,1,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,64308,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.102-23.53.6.105-47354-80-6,192.168.0.102,47354,23.53.6.105,80,6,23/06/2026 09:27:42 PM,57190,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.42787200559539,14297.5,15938.904531575145,30713.0,78.0,26477.0,13238.5,17027.83839775325,25279.0,1198.0,31989.0,31989.0,0.0,31989.0,31989.0,0,0,0,0,104,72,52.456723203357235,34.971148802238154,0.0,0.0,0.0,0.0,0.0,2,2,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64860,510,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.104-192.168.0.102-49261-80-6,192.168.0.104,49261,192.168.0.102,80,6,23/06/2026 09:27:51 PM,57,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,17543.859649122805,17543.859649122805,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.102-108.177.97.95-47008-443-6,192.168.0.102,47008,108.177.97.95,443,6,23/06/2026 09:27:40 PM,13620411,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22025767063857324,6810205.5,9579848.023283068,1.3584181E7,36230.0,0,0,0,0,0,1.3584181E7,1.3584181E7,0.0,1.3584181E7,1.3584181E7,0,0,0,0,32,64,0.07341922354619107,0.14683844709238214,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,75,1045,0,32,36230.0,0.0,36230.0,36230.0,1.3584181E7,0.0,1.3584181E7,1.3584181E7,NeedManualLabel
192.168.0.102-108.177.97.95-47008-443-6,192.168.0.102,47008,108.177.97.95,443,6,23/06/2026 09:27:54 PM,35376,2,1,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0.0,0.0,0.0,0.0,678.42605156038,84.8032564450475,17688.0,24955.212521635636,35334.0,42.0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,0,1,0,0,0,64,20,56.53550429669833,28.267752148349164,0.0,24.0,12.0,13.856406460551018,192.0,1,0,1,1,2,0,0,0,0.0,16.0,12.0,0.0,0,0,0,0,0,0,0,0,0,0,75,0,0,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.104-192.168.0.102-52581-80-6,192.168.0.104,52581,192.168.0.102,80,6,23/06/2026 09:28:05 PM,122,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16393.44262295082,122.0,0.0,122.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,8196.72131147541,8196.72131147541,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.104-192.168.0.102-55081-80-6,192.168.0.104,55081,192.168.0.102,80,6,23/06/2026 09:28:19 PM,1178406,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6972079232454689,1178406.0,0.0,1178406.0,1178406.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0.8486039616227344,0.8486039616227344,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1024,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
