Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.106-192.168.0.103-53536-445-6,192.168.0.106,53536,192.168.0.103,445,6,04/07/2026 11:45:00 AM,36388,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.44476200945367,18194.0,25383.719231034684,36143.0,245.0,36388.0,36388.0,0.0,36388.0,36388.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,24,54.96317467296912,27.48158733648456,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-62531-445-6,192.168.0.106,62531,192.168.0.103,445,6,04/07/2026 11:53:25 AM,555236,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.403107867645471,277618.0,391594.3212075476,554517.0,719.0,555236.0,555236.0,0.0,555236.0,555236.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.602071911763647,1.8010359558818234,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-62689-445-6,192.168.0.106,62689,192.168.0.103,445,6,04/07/2026 11:53:25 AM,555236,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.403107867645471,277618.0,391113.4885963408,554177.0,1059.0,555236.0,555236.0,0.0,555236.0,555236.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.602071911763647,1.8010359558818234,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-58081-445-6,192.168.0.106,58081,192.168.0.103,445,6,04/07/2026 11:53:25 AM,593943,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.050989741439835,296971.5,419203.3054789764,593393.0,550.0,593943.0,593943.0,0.0,593943.0,593943.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.3673264942932235,1.6836632471466118,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-58054-445-6,192.168.0.106,58054,192.168.0.103,445,6,04/07/2026 11:53:25 AM,593943,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.050989741439835,296971.5,419364.5258250869,593507.0,436.0,593943.0,593943.0,0.0,593943.0,593943.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.3673264942932235,1.6836632471466118,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-58079-445-6,192.168.0.106,58079,192.168.0.103,445,6,04/07/2026 11:53:25 AM,597025,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.024915204555922,298512.5,421485.8461686466,596548.0,477.0,597025.0,597025.0,0.0,597025.0,597025.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.3499434697039487,1.6749717348519744,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-58300-445-6,192.168.0.106,58300,192.168.0.103,445,6,04/07/2026 11:53:25 AM,597025,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.024915204555922,298512.5,420986.6287811289,596195.0,830.0,597025.0,597025.0,0.0,597025.0,597025.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.3499434697039487,1.6749717348519744,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-58090-445-6,192.168.0.106,58090,192.168.0.103,445,6,04/07/2026 11:53:25 AM,597025,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.024915204555922,298512.5,421096.937438994,596273.0,752.0,597025.0,597025.0,0.0,597025.0,597025.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.3499434697039487,1.6749717348519744,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-51573-445-6,192.168.0.106,51573,192.168.0.103,445,6,04/07/2026 11:53:25 AM,503176,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.962128559390751,251588.0,354766.7858297899,502446.0,730.0,503176.0,503176.0,0.0,503176.0,503176.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.974752372927167,1.9873761864635835,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
192.168.0.106-192.168.0.103-58520-445-6,192.168.0.106,58520,192.168.0.103,445,6,04/07/2026 11:53:25 AM,505512,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.934577220718796,252756.0,354732.84470429295,503590.0,1922.0,505512.0,505512.0,0.0,505512.0,505512.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,24,3.956384813812531,1.9781924069062653,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
