Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.106-192.168.0.103-53536-80-6,192.168.0.106,53536,192.168.0.103,80,6,04/07/2026 11:45:00 AM,38200,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.53403141361257,19100.0,26461.349965562986,37811.0,389.0,38200.0,38200.0,0.0,38200.0,38200.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,24,52.35602094240838,26.17801047120419,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,65535,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53546-80-6,192.168.0.106,53546,192.168.0.103,80,6,04/07/2026 11:52:11 AM,23071,3,3,97.0,156.0,97.0,0.0,32.333333333333336,56.0029761113937,156.0,0.0,52.0,90.06664199358161,10966.147977981014,260.0667504659529,4614.2,8062.924636879598,18873.0,212.0,3684.0,1842.0,2142.533546995239,3357.0,327.0,22859.0,11429.5,15436.84814008352,22345.0,514.0,0,0,0,0,104,104,130.03337523297645,130.03337523297645,0.0,156.0,36.14285714285714,64.03235789148215,4100.142857142857,1,2,0,2,5,0,0,0,1.0,42.16666666666666,32.333333333333336,52.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53606-80-6,192.168.0.106,53606,192.168.0.103,80,6,04/07/2026 11:52:11 AM,48775,3,3,111.0,645.0,111.0,0.0,37.0,64.08587988004847,460.0,0.0,215.0,231.46273998205413,15499.743721168632,123.0138390568939,9755.0,18324.90319210445,42260.0,220.0,6183.0,3091.5,4049.6005358553575,5955.0,228.0,48555.0,24277.5,33864.05085780495,48223.0,332.0,0,0,0,0,104,104,61.50691952844695,61.50691952844695,0.0,460.0,108.0,171.51190434874584,29416.33333333334,1,2,0,3,5,0,0,0,1.0,126.0,37.0,215.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53616-80-6,192.168.0.106,53616,192.168.0.103,80,6,04/07/2026 11:52:11 AM,25847,3,3,87.0,645.0,87.0,0.0,29.0,50.22947341949744,460.0,0.0,215.0,231.46273998205413,28320.50141215615,232.13525747668976,5169.4,7369.7673504663635,17227.0,171.0,8387.0,4193.5,4622.357028616461,7462.0,925.0,25676.0,12838.0,17826.161953712864,25443.0,233.0,0,0,0,0,104,104,116.06762873834488,116.06762873834488,0.0,460.0,104.57142857142856,171.6817376648403,29474.61904761905,1,2,0,3,5,0,0,0,1.0,122.0,29.0,215.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53628-80-6,192.168.0.106,53628,192.168.0.103,80,6,04/07/2026 11:52:11 AM,7945,3,3,97.0,156.0,97.0,0.0,32.333333333333336,56.0029761113937,156.0,0.0,52.0,90.06664199358161,31843.926998112016,755.1919446192574,1589.0,1494.7554984009926,3360.0,202.0,4424.0,2212.0,1909.1883092036785,3562.0,862.0,7743.0,3871.5,4799.133723913098,7265.0,478.0,0,0,0,0,104,104,377.5959723096287,377.5959723096287,0.0,156.0,36.14285714285714,64.03235789148215,4100.142857142857,1,2,0,2,5,0,0,0,1.0,42.16666666666666,32.333333333333336,52.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53536-80-6,192.168.0.106,53536,192.168.0.103,80,6,04/07/2026 11:52:11 AM,8600,3,3,111.0,645.0,111.0,0.0,37.0,64.08587988004847,460.0,0.0,215.0,231.46273998205413,87906.97674418605,697.6744186046511,1720.0,2361.1760840733587,5812.0,169.0,6757.0,3378.5,3680.49079607598,5981.0,776.0,8431.0,4215.5,5650.490288461701,8211.0,220.0,0,0,0,0,104,104,348.8372093023256,348.8372093023256,0.0,460.0,108.0,171.51190434874584,29416.33333333334,1,2,0,3,5,0,0,0,1.0,126.0,37.0,215.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53540-80-6,192.168.0.106,53540,192.168.0.103,80,6,04/07/2026 11:52:12 AM,14437,3,3,87.0,645.0,87.0,0.0,29.0,50.22947341949744,460.0,0.0,215.0,231.46273998205413,50703.054651243336,415.5988086167486,2887.4,4856.1295081577055,11370.0,0.0,11555.0,5777.5,8170.618856610557,11555.0,0.0,14252.0,7126.0,9636.451214010269,13940.0,312.0,0,0,0,0,104,104,207.7994043083743,207.7994043083743,0.0,460.0,104.57142857142856,171.6817376648403,29474.61904761905,1,2,0,3,5,0,0,0,1.0,122.0,29.0,215.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53542-80-6,192.168.0.106,53542,192.168.0.103,80,6,04/07/2026 11:52:12 AM,10270,3,3,97.0,156.0,97.0,0.0,32.333333333333336,56.0029761113937,156.0,0.0,52.0,90.06664199358161,24634.858812074,584.225900681597,2054.0,2301.233799508429,5974.0,189.0,7060.0,3530.0,3723.624309728359,6163.0,897.0,10081.0,5040.5,5630.691298588478,9022.0,1059.0,0,0,0,0,104,104,292.1129503407985,292.1129503407985,0.0,156.0,36.14285714285714,64.03235789148215,4100.142857142857,1,2,0,2,5,0,0,0,1.0,42.16666666666666,32.333333333333336,52.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53544-80-6,192.168.0.106,53544,192.168.0.103,80,6,04/07/2026 11:52:12 AM,7316,3,3,111.0,645.0,111.0,0.0,37.0,64.08587988004847,460.0,0.0,215.0,231.46273998205413,103335.15582285402,820.1202843083653,1463.2,1716.0203087376326,4398.0,188.0,5499.0,2749.5,2597.203207298189,4586.0,913.0,7128.0,3564.0,4543.868175904754,6777.0,351.0,0,0,0,0,104,104,410.0601421541826,410.0601421541826,0.0,460.0,108.0,171.51190434874584,29416.33333333334,1,2,0,3,5,0,0,0,1.0,126.0,37.0,215.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
192.168.0.106-192.168.0.103-53548-80-6,192.168.0.106,53548,192.168.0.103,80,6,04/07/2026 11:52:12 AM,10866,3,3,87.0,645.0,87.0,0.0,29.0,50.22947341949744,460.0,0.0,215.0,231.46273998205413,67366.09607951407,552.1811154058531,2173.2,1884.939707258564,4581.0,191.0,8000.0,4000.0,1091.772870152029,4772.0,3228.0,10675.0,5337.5,7030.762725337842,10309.0,366.0,0,0,0,0,104,104,276.09055770292656,276.09055770292656,0.0,460.0,104.57142857142856,171.6817376648403,29474.61904761905,1,2,0,3,5,0,0,0,1.0,122.0,29.0,215.0,0,0,0,0,0,0,0,0,0,0,64240,255,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Web Attack
