Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.101-20.189.173.2-46332-443-6,192.168.0.101,46332,20.189.173.2,443,6,26/06/2026 11:09:24 PM,945984,7,6,4054.0,7302.0,1795.0,0.0,579.1428571428571,825.2091509775827,6636.0,0.0,1217.0,2660.2882550580866,12004.431364589675,13.74230430958663,78832.0,111456.680647277,236642.0,0.0,723870.0,120644.99999999999,123708.44514098462,236690.0,1319.0,718599.0,143719.8,129643.03043241469,250690.0,0.0,0,0,0,0,232,200,7.3997023205466474,6.342601989039983,0.0,6636.0,811.1428571428572,1786.585262756553,3191886.9010989014,1,2,0,7,12,0,0,0,0.0,873.5384615384615,579.1428571428571,1217.0,0,0,0,11356,7,16225,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46336-443-6,192.168.0.101,46336,20.189.173.2,443,6,26/06/2026 11:09:24 PM,914518,7,7,4136.0,7302.0,1877.0,0.0,590.8571428571429,845.6737804006594,5208.0,0.0,1043.142857142857,1905.3050874310065,12507.134906037934,15.308610656105182,70347.53846153847,106574.41488275956,228425.0,54.0,693374.0,115562.33333333334,125325.17296643429,237891.0,817.0,694981.0,115830.16666666666,121490.22230190654,230202.0,217.0,0,0,0,0,232,232,7.654305328052591,7.654305328052591,0.0,5208.0,762.5333333333334,1399.2617373185797,1957933.4095238096,1,2,0,7,13,0,0,0,1.0,817.0,590.8571428571429,1043.142857142857,0,0,0,11438,8,16479,0,0,0,0,64240,16384,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46342-443-6,192.168.0.101,46342,20.189.173.2,443,6,26/06/2026 11:09:24 PM,970741,8,7,4054.0,7302.0,1795.0,0.0,506.75,790.957963484786,6636.0,0.0,1043.142857142857,2471.6786757567165,11698.27997375201,15.452113385547742,69338.64285714286,101535.4980779607,230578.0,0.0,942754.0,134679.14285714284,124336.04565240198,260903.0,430.0,755301.0,125883.50000000001,113568.84152222387,233717.0,0.0,0,0,0,0,264,232,8.241127138958795,7.210986246588946,0.0,6636.0,709.7500000000001,1686.1385273260717,2843063.1333333333,1,2,0,7,14,0,0,0,0.0,757.0666666666667,506.75,1043.142857142857,0,0,0,11356,7,15045,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46352-443-6,192.168.0.101,46352,20.189.173.2,443,6,26/06/2026 11:09:24 PM,926170,7,6,4054.0,7302.0,1795.0,0.0,579.1428571428571,825.2091509775827,6636.0,0.0,1217.0,2660.2882550580866,12261.247935044321,14.036300031311745,77180.83333333334,108963.9175030251,234240.0,23.0,685514.0,114252.33333333333,123086.90682548922,235878.0,553.0,706926.0,141385.2,119166.0848341507,234816.0,1583.0,0,0,0,0,232,200,7.558007709167863,6.478292322143883,0.0,6636.0,811.1428571428572,1786.585262756553,3191886.9010989014,1,2,0,7,12,0,0,0,0.0,873.5384615384615,579.1428571428571,1217.0,0,0,0,11356,7,16077,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46344-443-6,192.168.0.101,46344,20.189.173.2,443,6,26/06/2026 11:09:24 PM,951634,8,8,4136.0,7302.0,1877.0,0.0,517.0,810.3313255347205,2856.0,0.0,912.75,1152.5517961710627,12019.326757976281,16.813186582236447,63442.26666666669,107526.13032352825,242204.0,0.0,723377.0,103339.57142857145,126311.83322615654,242786.0,524.0,715789.0,102255.57142857143,127289.03699305392,246910.0,0.0,0,0,0,0,264,264,8.406593291118224,8.406593291118224,0.0,2856.0,672.8235294117648,968.3279555046238,937659.0294117647,1,2,0,7,15,0,0,0,1.0,714.875,517.0,912.75,0,0,0,11438,9,16017,0,0,0,0,64240,16384,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46354-443-6,192.168.0.101,46354,20.189.173.2,443,6,26/06/2026 11:09:24 PM,913284,7,8,4136.0,7302.0,1877.0,0.0,590.8571428571429,845.6737804006594,5208.0,0.0,912.75,1802.1119950927418,12524.034144910018,16.42424481322349,65234.571428571435,106052.95805667766,233523.0,1.0,692730.0,115455.0,124904.08461535595,234056.0,542.0,691454.0,98779.14285714287,122749.78166909107,234591.0,1.0,0,0,0,0,232,264,7.664647579504295,8.759597233719195,0.0,5208.0,714.875,1365.1906765479075,1863745.5833333333,1,2,0,7,14,0,0,0,1.0,762.5333333333333,590.8571428571429,912.75,0,0,0,11438,8,16558,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46366-443-6,192.168.0.101,46366,20.189.173.2,443,6,26/06/2026 11:09:24 PM,928618,7,6,4054.0,7302.0,1795.0,0.0,579.1428571428571,825.2091509775827,6636.0,0.0,1217.0,2660.2882550580866,12228.925133908668,13.999297881367795,77384.83333333334,112099.80648254592,232971.0,0.0,695668.0,115944.66666666667,124618.92306975962,233136.0,1974.0,695647.0,139129.4,124729.22846029313,233717.0,0.0,0,0,0,0,232,200,7.538083474582659,6.461214406785136,0.0,6636.0,811.1428571428572,1786.585262756553,3191886.9010989014,1,2,0,7,12,0,0,0,0.0,873.5384615384615,579.1428571428571,1217.0,0,0,0,11356,7,16374,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46374-443-6,192.168.0.101,46374,20.189.173.2,443,6,26/06/2026 11:09:24 PM,921249,7,6,4054.0,7302.0,1795.0,0.0,579.1428571428571,825.2091509775827,6636.0,0.0,1217.0,2660.2882550580866,12326.743366885608,14.111277189988808,76770.74999999999,110957.91590846503,236689.0,81.0,699670.0,116611.66666666667,126024.36614824401,244014.0,563.0,694068.0,138813.6,123185.84571207846,237401.0,841.0,0,0,0,0,232,200,7.59838002537859,6.512897164610219,0.0,6636.0,811.1428571428572,1786.585262756553,3191886.9010989014,1,2,0,7,12,0,0,0,0.0,873.5384615384615,579.1428571428571,1217.0,0,0,0,11356,7,16378,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46396-443-6,192.168.0.101,46396,20.189.173.2,443,6,26/06/2026 11:09:25 PM,936707,7,8,4054.0,7302.0,1795.0,0.0,579.1428571428571,825.2091509775827,4284.0,0.0,912.75,1454.8648194444536,12123.32138011139,16.0135453242049,66907.64285714286,106828.454698036,239752.0,2.0,704509.0,117418.16666666667,126350.72366301139,239879.0,638.0,696955.0,99565.0,120538.67203101252,235887.0,2.0,0,0,0,0,232,264,7.472987817962287,8.540557506242614,0.0,4284.0,709.7500000000001,1150.5090757283633,1323671.133333333,1,2,0,7,14,0,0,0,1.0,757.0666666666667,579.1428571428571,912.75,0,0,0,11356,9,16311,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.189.173.2-46404-443-6,192.168.0.101,46404,20.189.173.2,443,6,26/06/2026 11:09:25 PM,917269,7,9,4136.0,7302.0,1877.0,0.0,590.8571428571429,845.6737804006594,4284.0,0.0,811.3333333333334,1394.4965937570448,12469.624504916224,17.44308376277842,61151.266666666656,102921.33757699662,231497.0,1.0,689780.0,114963.33333333334,124678.9205546257,237303.0,886.0,695389.0,86923.62500000001,117429.86043827853,233008.0,1.0,0,0,0,0,232,296,7.63134914621556,9.811734616562862,0.0,4284.0,672.8235294117649,1132.4844499646629,1282521.0294117648,1,2,0,7,15,0,0,0,1.0,714.875,590.8571428571429,811.3333333333334,0,0,0,11438,9,16472,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
