Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.101-20.50.73.4-46862-443-6,192.168.0.101,46862,20.50.73.4,443,6,26/06/2026 11:01:28 PM,1105002,7,7,4136.0,7303.0,1877.0,0.0,590.8571428571429,845.6737804006594,5209.0,0.0,1043.2857142857144,1905.6694111943723,10352.017462411832,12.669660326406648,85000.15384615384,129974.47178827475,317278.0,1.0,787723.0,131287.16666666666,143318.7412147018,300386.0,620.0,870340.0,145056.66666666666,154306.15458712808,319962.0,1.0,0,0,0,0,232,232,6.334830163203324,6.334830163203324,0.0,5209.0,762.6,1399.4886719288381,1958568.5428571429,1,2,0,7,13,0,0,0,1.0,817.0714285714286,590.8571428571429,1043.2857142857142,0,0,0,11439,8,13153,0,0,0,0,64240,16384,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-52.178.17.232-46164-443-6,192.168.0.101,46164,52.178.17.232,443,6,26/06/2026 11:01:29 PM,1061191,8,7,4054.0,7302.0,1795.0,0.0,506.75,790.957963484786,4284.0,0.0,1043.142857142857,1658.4750453927477,10701.183858513688,14.135061454535517,75799.35714285716,122969.84134557116,293735.0,2.0,787241.0,112462.99999999999,137572.86047279334,293833.0,7.0,831651.0,138608.5,152258.83259732422,294970.0,2.0,0,0,0,0,264,232,7.538699442418943,6.5963620121165745,0.0,4284.0,709.7500000000001,1224.5818606092992,1499600.7333333332,1,2,0,7,14,0,0,0,0.0,757.0666666666667,506.75,1043.142857142857,0,0,0,11356,8,13791,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-52.168.117.171-45594-443-6,192.168.0.101,45594,52.168.117.171,443,6,26/06/2026 11:01:28 PM,1210276,8,9,4054.0,7304.0,1795.0,0.0,506.75,790.957963484786,3781.0,0.0,811.5555555555555,1259.1347337667155,9384.636231735572,14.046382808549456,75642.24999999999,125736.63520098932,292658.0,40.0,901416.0,128773.7142857143,147266.7808454148,295160.0,1062.0,929011.0,116126.37499999999,151253.95363043997,308588.0,1540.0,0,0,0,0,264,296,6.610062498140921,7.436320310408536,0.0,3781.0,631.0,1025.4907576948935,1051631.294117647,1,2,0,7,16,0,0,0,1.0,668.1176470588235,506.75,811.5555555555555,0,0,0,11358,9,12632,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-13.89.179.9-46872-443-6,192.168.0.101,46872,13.89.179.9,443,6,26/06/2026 11:01:29 PM,1180686,7,6,4136.0,7304.0,1877.0,0.0,590.8571428571429,845.6737804006594,6637.0,0.0,1217.3333333333333,2660.639071100525,9689.282332474511,11.010548105084672,98390.5,141129.641165007,335154.0,2.0,905911.0,150985.1666666667,156942.76727573865,335280.0,3368.0,919278.0,183855.6,169206.91641833083,338689.0,2.0,0,0,0,0,232,200,5.92875667196867,5.081791433116003,0.0,6637.0,817.1428571428572,1790.4245245253924,3205619.9780219775,1,2,0,7,12,0,0,0,0.0,880.0,590.8571428571429,1217.3333333333333,0,0,0,11440,7,12749,0,0,0,0,64240,16384,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.4-45758-443-6,192.168.0.101,45758,20.184.175.4,443,6,26/06/2026 11:01:29 PM,1074544,7,7,4054.0,7302.0,1795.0,0.0,579.1428571428571,825.2091509775827,6636.0,0.0,1043.142857142857,2471.6786757567165,10568.203814827499,13.02878244166828,82657.23076923077,129003.22866835147,308042.0,0.0,780522.0,130087.0,142294.21516140422,308071.0,1318.0,828738.0,138123.0,153958.34642915596,309454.0,0.0,0,0,0,0,232,232,6.51439122083414,6.51439122083414,0.0,6636.0,757.0666666666667,1734.2890460468507,3007758.4952380955,1,2,0,7,13,0,0,0,1.0,811.1428571428571,579.1428571428571,1043.142857142857,0,0,0,11356,7,13756,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.50.73.13-46076-443-6,192.168.0.101,46076,20.50.73.13,443,6,26/06/2026 11:01:29 PM,1160974,10,10,4054.0,7303.0,1795.0,0.0,405.4,729.5489017194119,2856.0,0.0,730.3000000000001,942.3996616203882,9782.30347966449,17.22691464236064,61103.8947368421,111288.69856014368,296925.0,1.0,864046.0,96005.11111111108,138607.88425306516,334958.0,2.0,916571.0,101841.22222222222,138303.6534656422,298857.0,1.0,0,0,0,0,328,328,8.61345732118032,8.61345732118032,0.0,2856.0,540.8095238095239,825.1705047472079,680906.361904762,1,2,0,7,19,0,0,0,1.0,567.85,405.4,730.3,0,0,0,11357,10,12660,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.4-45746-443-6,192.168.0.101,45746,20.184.175.4,443,6,26/06/2026 11:01:29 PM,1183690,8,8,4136.0,7302.0,1877.0,0.0,517.0,810.3313255347205,3780.0,0.0,912.75,1305.8972558578807,9663.002982199732,13.517052606679115,78912.66666666667,121563.75320538993,298464.0,52.0,873632.0,124804.57142857142,147053.1176070483,303553.0,1109.0,948536.0,135505.14285714287,145403.38552733057,300219.0,11594.0,0,0,0,0,264,264,6.758526303339558,6.758526303339558,0.0,3780.0,672.8235294117648,1050.0442987854203,1102593.029411765,1,2,0,7,15,0,0,0,1.0,714.875,517.0,912.75,0,0,0,11438,9,12258,0,0,0,0,64240,16384,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-13.69.239.74-46332-443-6,192.168.0.101,46332,13.69.239.74,443,6,26/06/2026 11:01:29 PM,1133172,8,8,4135.0,7303.0,1876.0,0.0,516.875,810.0916063719495,2856.0,0.0,912.875,1152.7302295606103,10093.789821845226,14.119657033530654,75544.79999999999,114277.28874490205,272760.0,2.0,884330.0,126332.85714285713,140312.21455196332,292992.0,1458.0,894236.0,127748.0,129230.88559499494,274336.0,2.0,0,0,0,0,264,264,7.059828516765327,7.059828516765327,0.0,2856.0,672.8235294117648,968.3586780794421,937718.5294117647,1,2,0,7,15,0,0,0,1.0,714.875,516.875,912.875,0,0,0,11438,9,12820,0,0,0,0,64240,16384,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-13.69.239.74-46338-443-6,192.168.0.101,46338,13.69.239.74,443,6,26/06/2026 11:01:29 PM,1132091,7,7,4054.0,7303.0,1795.0,0.0,579.1428571428571,825.2091509775827,5712.0,0.0,1043.2857142857144,2085.631775928317,10031.879062725524,12.36649703954894,87083.92307692308,135406.78598791466,316908.0,2.0,886036.0,147672.66666666666,159586.79289799224,316980.0,1143.0,867581.0,144596.8333333333,159918.35646906414,318149.0,2.0,0,0,0,0,232,232,6.18324851977447,6.18324851977447,0.0,5712.0,757.1333333333333,1501.265602591297,2253798.40952381,1,2,0,7,13,0,0,0,1.0,811.2142857142857,579.1428571428571,1043.2857142857142,0,0,0,11357,8,13109,0,0,0,0,64240,16385,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.101-20.184.175.14-48328-443-6,192.168.0.101,48328,20.184.175.14,443,6,26/06/2026 11:01:29 PM,1311721,8,8,4135.0,7303.0,1876.0,0.0,516.875,810.0916063719496,5208.0,0.0,912.875,1802.076456083767,8719.842100568643,12.197715825240277,87448.06666666667,122307.82469915037,289712.0,2.0,1148157.0,164022.42857142855,154398.56746297568,321608.0,894.0,1076529.0,153789.85714285716,141189.14699842499,291386.0,2.0,0,0,0,0,264,264,6.098857912620138,6.098857912620138,0.0,5208.0,672.8235294117648,1333.0965941790432,1777146.5294117648,1,2,0,7,15,0,0,0,1.0,714.875,516.875,912.875,0,0,0,11438,8,10635,0,0,0,0,64240,16388,3,32,0,0,0,0,0,0,0,0,NeedManualLabel
