feature,ks_stat,p_value,lab_median,real_median,lab_p99,real_p99
Bwd_IAT_Min,0.8106,0.0,253.0,0.0,27729.94,19591.8
Custom_Bwd_Pkt_Ratio,0.6287,0.0,0.8,1.0,3.0,1.562
Custom_IAT_Anomaly,0.5446,0.0,2.2404,22.0,703125.64,314089.0
Down_Up_Ratio,0.5361,0.0,0.0,1.0,3.0,1.0
FIN_Flag_Count,0.5156,0.0,2.0,1.0,2.0,2.0
Init_Win_bytes_backward,0.4455,0.0,63.0,16.0,80.0,16382.0
Fwd_IAT_Max,0.4338,0.0,11622.5,2.0,119956897.12,2059196.4
Fwd_IAT_Mean,0.4338,0.0,5041.0,2.0,39935004.4,1026452.7375
Fwd_IAT_Total,0.4337,0.0,19401.5,2.0,119974190.0,13362483.2
Bwd_Header_Length,0.4335,0.0,136.0,32.0,456.0,3080.0
Total_Backward_Packets,0.4294,0.0,4.0,1.0,14.0,96.0
Bwd_IAT_Mean,0.4293,0.0,5480.0,0.0,1252516.8112,375075.3
Bwd_IAT_Max,0.4292,0.0,10613.5,0.0,3421941.93,1549029.2
Bwd_IAT_Total,0.4292,0.0,16846.0,0.0,7862434.45,5523624.2
Bwd_IAT_Std,0.4291,0.0,5211.9375,0.0,1343524.67,485985.0438
ACK_Flag_Count,0.4197,0.0,8.0,2.0,32.0,177.0
Bwd_Packet_Length_Std,0.4145,0.0,246.0,0.0,1738.5,9677.1545
Total_Fwd_Packets,0.4124,0.0,5.0,2.0,19.0,84.0
Fwd_Header_Length,0.4124,0.0,168.0,64.0,640.0,2760.0
Flow_IAT_Std,0.4103,0.0,4726.4922,24.0416,45322602.52,487159.1125
PSH_Flag_Count,0.4053,0.0,2.0,0.0,15.0,85.8
Fwd_Packet_Length_Max,0.3994,0.0,220.0,51.0,1398.0,1598.8
Fwd_IAT_Std,0.392,0.0,5097.5327,0.0,68850366.56,569128.625
SYN_Flag_Count,0.3861,0.0,2.0,0.0,3.0,3.0
Bwd_Packets_s,0.3799,0.0,68.3107,48.0992,559.4719,90909.0938
Fwd_IAT_Min,0.3797,0.0,3.0,1.0,225572.38,1005046.8
Custom_Slow_Index,0.3655,0.0,1.8118,1.0101,4.6766,12.9185
Custom_IAT_CV,0.3644,0.0,1.6922,1.0933,4.6234,4.6812
Custom_Pkt_Var_Ratio,0.3628,0.0,330.9681,8.4237,2931.0569,18852.8039
Total_Length_of_Bwd_Packets,0.3558,0.0,492.0,95.0,5932.0,459260.8
Fwd_Packet_Length_Std,0.351,0.0,97.0453,0.0,982.8784,298.4901
Bwd_Packet_Length_Max,0.3508,0.0,492.0,95.0,3477.0,42966.0
Packet_Length_Std,0.3428,0.0,162.4282,25.4034,1094.4247,8113.204
Packet_Length_Variance,0.3428,0.0,26382.9336,645.3333,1197765.375,65824136.8
Max_Packet_Length,0.3423,0.0,492.0,97.0,3477.0,48510.0
Total_Length_of_Fwd_Packets,0.3404,0.0,220.0,51.0,4202.0,2235.0
Average_Packet_Size,0.3329,0.0,78.4444,98.5,479.9261,3680.7393
Avg_Bwd_Segment_Size,0.3312,0.0,123.0,91.0,869.25,6824.6777
Bwd_Packet_Length_Mean,0.3312,0.0,123.0,91.0,869.25,6824.6777
act_data_pkt_fwd,0.3249,0.0,1.0,0.0,7.0,8.0
Packet_Length_Mean,0.3243,0.0,70.6,65.6667,447.4113,3620.8316
Port_Is_Registered,0.3093,0.0,0.0,0.0,0.0,1.0
Flow_Packets_s,0.3015,0.0,346.5818,102.4146,2000000.0,200000.0
Flow_Duration,0.2977,0.0,23625.0,71350.0,119975731.92,13436830.6
Custom_Fwd_Pkt_Rate,0.2946,0.0,182.3542,49.9902,2000000.0,125000.0
Fwd_Packets_s,0.2946,0.0,182.3542,49.9863,2000000.0,125000.0
Flow_IAT_Mean,0.2877,0.0,3500.125,10695.1113,17135214.66,937584.4
Flow_IAT_Max,0.2784,0.0,14360.0,57786.0,119956486.56,2083750.8
Flow_Bytes_s,0.2692,0.0,1762.6581,2126.0398,246250.32,727272.75
Subflow_Fwd_Packets,0.2625,0.0,0.0,0.0,18.0,13.0
Subflow_Bwd_Packets,0.2619,0.0,0.0,0.0,12.0,13.0
Subflow_Fwd_Bytes,0.2569,0.0,0.0,0.0,1965.0,858.0
Subflow_Bwd_Bytes,0.2558,0.0,0.0,0.0,5729.0,5451.0
RST_Flag_Count,0.2539,0.0,0.0,0.0,2.0,2.0
Avg_Fwd_Segment_Size,0.2333,0.0,43.4,34.24,703.0,172.3333
Fwd_Packet_Length_Mean,0.2333,0.0,43.4,34.24,703.0,172.3333
Init_Win_bytes_forward,0.2314,0.0,64240.0,505.0,64240.0,64240.0
min_seg_size_forward,0.2242,0.0,32.0,32.0,32.0,32.0
Flow_IAT_Min,0.2002,0.0,12.0,18.0,80906.63,808814.6
Port_Is_WellKnown,0.1963,0.0,1.0,1.0,1.0,1.0
Port_Is_Web,0.1751,0.0,1.0,1.0,1.0,1.0
Port_Is_RemoteAccess,0.163,0.0,0.0,0.0,1.0,0.0
Idle_Mean,0.1527,0.0,0.0,0.0,119956486.56,0.0
Idle_Max,0.1527,0.0,0.0,0.0,119956486.56,0.0
Idle_Min,0.1526,0.0,0.0,0.0,119956486.56,0.0
Fwd_Packet_Length_Min,0.1423,0.0,0.0,0.0,0.0,56.0
Bwd_Packet_Length_Min,0.1378,0.0,0.0,0.0,0.0,332.0
Custom_Pkt_Size_Ratio,0.1378,0.0,0.0,0.0,0.0,0.9273
Min_Packet_Length,0.1378,0.0,0.0,0.0,0.0,56.0
Port_Is_Ephemeral,0.113,3.4018645455448286e-286,0.0,0.0,1.0,0.0
Fwd_PSH_Flags,0.012,0.0011838645493806837,0.0,0.0,1.0,1.0
Active_Min,0.0043,0.7271134175764877,0.0,0.0,0.0,0.0
Active_Mean,0.0042,0.7420446930960682,0.0,0.0,0.0,0.0
Active_Max,0.0041,0.7718605189031131,0.0,0.0,0.0,0.0
Idle_Std,0.0012,0.9999999999999967,0.0,0.0,0.0,0.0
Active_Std,0.0011,0.9999999999999997,0.0,0.0,0.0,0.0
URG_Flag_Count,0.0,1.0,0.0,0.0,0.0,0.0
Fwd_URG_Flags,0.0,1.0,0.0,0.0,0.0,0.0
ECE_Flag_Count,0.0,1.0,0.0,0.0,0.0,0.0
CWE_Flag_Count,0.0,1.0,0.0,0.0,0.0,0.0
