feature,real_max_absz,real_pct_gt5,real_pct_gt10,lab_max_absz
FIN_Flag_Count,5.84,59.9,0.0,5.84
RST_Flag_Count,73.56,37.36,37.36,73.56
Custom_Pkt_Size_Ratio,6.6,13.78,0.0,0.15
Flow_IAT_Min,64717.75,0.18,0.14,2.63
Custom_IAT_CV,9.09,0.07,0.0,7.02
Fwd_Packet_Length_Mean,6.39,0.04,0.0,3.89
Avg_Fwd_Segment_Size,6.39,0.04,0.0,3.89
Flow_Bytes_s,15.41,0.01,0.0,0.05
Total_Length_of_Fwd_Packets,4.73,0.0,0.0,3.91
Subflow_Fwd_Bytes,3.74,0.0,0.0,3.09
min_seg_size_forward,3.05,0.0,0.0,3.05
act_data_pkt_fwd,2.34,0.0,0.0,2.28
Init_Win_bytes_backward,1.85,0.0,0.0,1.84
Init_Win_bytes_forward,1.57,0.0,0.0,1.57
Subflow_Bwd_Bytes,2.76,0.0,0.0,1.48
Subflow_Bwd_Packets,2.59,0.0,0.0,2.13
Avg_Bwd_Segment_Size,2.49,0.0,0.0,1.53
Subflow_Fwd_Packets,4.07,0.0,0.0,4.07
Active_Std,4.06,0.0,0.0,4.06
Average_Packet_Size,3.85,0.0,0.0,1.79
Down_Up_Ratio,2.62,0.0,0.0,5.26
ECE_Flag_Count,0.01,0.0,0.0,0.01
CWE_Flag_Count,0.01,0.0,0.0,0.01
URG_Flag_Count,0.34,0.0,0.0,0.34
Active_Mean,2.23,0.0,0.0,2.23
Active_Min,2.23,0.0,0.0,2.23
Active_Max,2.24,0.0,0.0,2.24
Port_Is_Registered,2.48,0.0,0.0,2.48
Custom_Bwd_Pkt_Ratio,2.75,0.0,0.0,5.64
Custom_IAT_Anomaly,2.0,0.0,0.0,2.04
Custom_Pkt_Var_Ratio,1.84,0.0,0.0,1.62
Custom_Slow_Index,2.15,0.0,0.0,2.15
Custom_Fwd_Pkt_Rate,6.45,0.0,0.0,6.45
Port_Is_Ephemeral,0.33,0.0,0.0,3.07
Port_Is_WellKnown,1.81,0.0,0.0,1.81
PSH_Flag_Count,1.88,0.0,0.0,1.88
Port_Is_RemoteAccess,0.3,0.0,0.0,3.35
Port_Is_Web,1.18,0.0,0.0,1.18
Idle_Min,2.16,0.0,0.0,2.16
Idle_Max,2.16,0.0,0.0,2.16
Idle_Std,3.71,0.0,0.0,3.71
Idle_Mean,2.16,0.0,0.0,2.16
ACK_Flag_Count,1.68,0.0,0.0,1.68
SYN_Flag_Count,4.05,0.0,0.0,4.05
Total_Backward_Packets,2.73,0.0,0.0,2.59
Total_Length_of_Bwd_Packets,3.15,0.0,0.0,1.69
Fwd_IAT_Max,1.39,0.0,0.0,1.48
Fwd_IAT_Std,1.43,0.0,0.0,1.5
Fwd_IAT_Mean,1.52,0.0,0.0,1.61
Fwd_IAT_Total,1.37,0.0,0.0,1.42
Flow_IAT_Max,1.82,0.0,0.0,1.7
Flow_IAT_Std,1.46,0.0,0.0,1.62
Flow_IAT_Mean,1.85,0.0,0.0,2.15
Flow_Packets_s,5.97,0.0,0.0,5.97
Bwd_Packet_Length_Std,1.71,0.0,0.0,1.65
Bwd_Packet_Length_Mean,2.49,0.0,0.0,1.53
Bwd_Packet_Length_Min,1.71,0.0,0.0,1.54
Bwd_Packet_Length_Max,2.18,0.0,0.0,1.66
Fwd_Packet_Length_Std,1.75,0.0,0.0,1.71
Fwd_Packet_Length_Min,2.0,0.0,0.0,1.87
Fwd_Packet_Length_Max,3.4,0.0,0.0,2.83
Fwd_IAT_Min,2.02,0.0,0.0,2.03
Bwd_IAT_Total,1.54,0.0,0.0,1.56
Bwd_IAT_Mean,1.61,0.0,0.0,1.64
Bwd_Packets_s,1.72,0.0,0.0,1.77
Total_Fwd_Packets,2.24,0.0,0.0,2.2
Packet_Length_Variance,2.23,0.0,0.0,1.64
Packet_Length_Std,2.28,0.0,0.0,1.65
Packet_Length_Mean,3.38,0.0,0.0,1.75
Max_Packet_Length,2.3,0.0,0.0,1.88
Min_Packet_Length,1.47,0.0,0.0,0.87
Fwd_Packets_s,1.78,0.0,0.0,1.78
Bwd_IAT_Std,1.62,0.0,0.0,1.64
Bwd_Header_Length,1.96,0.0,0.0,0.27
Fwd_Header_Length,1.61,0.0,0.0,0.17
Fwd_URG_Flags,0.01,0.0,0.0,0.01
Fwd_PSH_Flags,4.05,0.0,0.0,4.05
Bwd_IAT_Min,2.04,0.0,0.0,2.04
Bwd_IAT_Max,1.55,0.0,0.0,1.58
Flow_Duration,1.83,0.0,0.0,1.7
