feature,shap_mean_abs,shap_mean_signed
Port_Is_Web,0.82963,0.82592
min_seg_size_forward,0.69763,0.53204
Fwd_Packet_Length_Max,0.45878,0.08478
Avg_Bwd_Segment_Size,0.40391,0.26538
RST_Flag_Count,0.36161,0.18943
Total_Length_of_Fwd_Packets,0.3208,0.24457
PSH_Flag_Count,0.27935,-0.11365
Port_Is_WellKnown,0.23814,-0.21204
Init_Win_bytes_forward,0.20648,0.11916
Fwd_IAT_Mean,0.20116,-0.16203
Flow_IAT_Max,0.19504,0.0429
Port_Is_Registered,0.17552,0.15268
Total_Backward_Packets,0.16891,0.13933
Flow_IAT_Min,0.13293,0.05307
Bwd_IAT_Total,0.1263,-0.09663
Fwd_IAT_Min,0.12123,-0.00293
Down_Up_Ratio,0.11421,-0.03098
Packet_Length_Variance,0.11315,-0.0164
act_data_pkt_fwd,0.08657,0.06002
Total_Fwd_Packets,0.0853,-0.00579
Custom_Slow_Index,0.07379,-0.00088
Fwd_IAT_Std,0.07319,0.00972
Bwd_Packets_s,0.07169,0.03227
Packet_Length_Std,0.06912,-0.02213
Bwd_Packet_Length_Min,0.06191,0.02095
Bwd_IAT_Min,0.06039,0.02193
Fwd_Packet_Length_Mean,0.05945,-0.00037
Flow_IAT_Mean,0.05838,0.03844
Max_Packet_Length,0.0532,-0.02585
Fwd_IAT_Total,0.05229,0.01297
Min_Packet_Length,0.04879,0.01949
Custom_Pkt_Var_Ratio,0.04774,0.03528
Bwd_Packet_Length_Mean,0.04218,0.02498
SYN_Flag_Count,0.04126,0.01795
Flow_IAT_Std,0.03878,0.01623
Custom_IAT_CV,0.0385,-0.00862
Average_Packet_Size,0.0381,0.02166
Fwd_Packets_s,0.038,0.00687
Subflow_Fwd_Packets,0.03452,-0.00052
Init_Win_bytes_backward,0.03094,0.00758
Bwd_Packet_Length_Max,0.02932,0.0191
ACK_Flag_Count,0.02452,-0.00239
Custom_IAT_Anomaly,0.02411,-0.00971
Packet_Length_Mean,0.02122,0.01407
Fwd_IAT_Max,0.01859,-0.00179
Bwd_IAT_Mean,0.01846,-0.01105
Avg_Fwd_Segment_Size,0.01514,0.00639
Subflow_Bwd_Packets,0.01511,0.00239
Custom_Bwd_Pkt_Ratio,0.01345,-0.00235
Flow_Duration,0.01202,7e-05
Fwd_Packet_Length_Std,0.01033,-0.00373
Subflow_Bwd_Bytes,0.01,0.00536
Bwd_IAT_Max,0.00945,-0.00561
Subflow_Fwd_Bytes,0.00763,0.00331
Fwd_PSH_Flags,0.00641,-0.00441
Bwd_IAT_Std,0.00617,-0.003
Total_Length_of_Bwd_Packets,0.00547,-0.00382
Active_Max,0.00458,0.00458
Idle_Min,0.00364,-0.00364
Custom_Pkt_Size_Ratio,0.00333,0.00077
Bwd_Packet_Length_Std,0.00296,-0.00059
FIN_Flag_Count,0.00234,-0.00153
Flow_Packets_s,0.00106,-0.00077
Fwd_Packet_Length_Min,0.00084,-0.00051
Idle_Mean,0.00063,-0.0002
Idle_Max,0.00037,0.00014
Custom_Fwd_Pkt_Rate,0.00036,-0.0
Active_Min,0.00028,0.00028
Fwd_Header_Length,0.00015,-0.00013
Bwd_Header_Length,0.0001,-8e-05
Active_Mean,9e-05,9e-05
Flow_Bytes_s,6e-05,5e-05
Active_Std,0.0,0.0
Port_Is_RemoteAccess,0.0,0.0
Port_Is_Ephemeral,0.0,0.0
URG_Flag_Count,0.0,0.0
Fwd_URG_Flags,0.0,0.0
CWE_Flag_Count,0.0,0.0
Idle_Std,0.0,0.0
ECE_Flag_Count,0.0,0.0
